,Date,Users,year,month,day,day of week,weekend
0,2020-01-01,13,2020,1,1,2,False
1,2020-01-02,17,2020,1,2,3,False
2,2020-01-03,13,2020,1,3,4,False
3,2020-01-04,4,2020,1,4,5,True
4,2020-01-05,10,2020,1,5,6,True
5,2020-01-06,29,2020,1,6,0,False
6,2020-01-07,43,2020,1,7,1,False
7,2020-01-08,27,2020,1,8,2,False
8,2020-01-09,26,2020,1,9,3,False
9,2020-01-10,20,2020,1,10,4,False
10,2020-01-11,7,2020,1,11,5,True
11,2020-01-12,7,2020,1,12,6,True
12,2020-01-13,27,2020,1,13,0,False
13,2020-01-14,33,2020,1,14,1,False
14,2020-01-15,16,2020,1,15,2,False
15,2020-01-16,14,2020,1,16,3,False
16,2020-01-17,14,2020,1,17,4,False
17,2020-01-18,18,2020,1,18,5,True
18,2020-01-19,25,2020,1,19,6,True
19,2020-01-20,16,2020,1,20,0,False
20,2020-01-21,24,2020,1,21,1,False
21,2020-01-22,17,2020,1,22,2,False
22,2020-01-23,39,2020,1,23,3,False
23,2020-01-24,43,2020,1,24,4,False
24,2020-01-25,35,2020,1,25,5,True
25,2020-01-26,37,2020,1,26,6,True
26,2020-01-27,189,2020,1,27,0,False
27,2020-01-28,197,2020,1,28,1,False
28,2020-01-29,142,2020,1,29,2,False
29,2020-01-30,79,2020,1,30,3,False
30,2020-01-31,60,2020,1,31,4,False
31,2020-02-01,46,2020,2,1,5,True
32,2020-02-02,47,2020,2,2,6,True
33,2020-02-03,60,2020,2,3,0,False
34,2020-02-04,52,2020,2,4,1,False
35,2020-02-05,38,2020,2,5,2,False
36,2020-02-06,32,2020,2,6,3,False
37,2020-02-07,40,2020,2,7,4,False
38,2020-02-08,21,2020,2,8,5,True
39,2020-02-09,30,2020,2,9,6,True
40,2020-02-10,33,2020,2,10,0,False
41,2020-02-11,13,2020,2,11,1,False
42,2020-02-12,71,2020,2,12,2,False
43,2020-02-13,59,2020,2,13,3,False
44,2020-02-14,38,2020,2,14,4,False
45,2020-02-15,45,2020,2,15,5,True
46,2020-02-16,59,2020,2,16,6,True
47,2020-02-17,46,2020,2,17,0,False
48,2020-02-18,60,2020,2,18,1,False
49,2020-02-19,77,2020,2,19,2,False
50,2020-02-20,59,2020,2,20,3,False
51,2020-02-21,51,2020,2,21,4,False
52,2020-02-22,45,2020,2,22,5,True
53,2020-02-23,30,2020,2,23,6,True
54,2020-02-24,28,2020,2,24,0,False
55,2020-02-25,80,2020,2,25,1,False
56,2020-02-26,50,2020,2,26,2,False
57,2020-02-27,53,2020,2,27,3,False
58,2020-02-28,74,2020,2,28,4,False
59,2020-02-29,46,2020,2,29,5,True
60,2020-03-01,27,2020,3,1,6,True
61,2020-03-02,62,2020,3,2,0,False
62,2020-03-03,65,2020,3,3,1,False
63,2020-03-04,75,2020,3,4,2,False
64,2020-03-05,56,2020,3,5,3,False
65,2020-03-06,52,2020,3,6,4,False
66,2020-03-07,58,2020,3,7,5,True
67,2020-03-08,41,2020,3,8,6,True
68,2020-03-09,119,2020,3,9,0,False
69,2020-03-10,78,2020,3,10,1,False
70,2020-03-11,99,2020,3,11,2,False
71,2020-03-12,62,2020,3,12,3,False
72,2020-03-13,28,2020,3,13,4,False
73,2020-03-14,10,2020,3,14,5,True
74,2020-03-15,10,2020,3,15,6,True
75,2020-03-16,10,2020,3,16,0,False
76,2020-03-17,14,2020,3,17,1,False
77,2020-03-18,13,2020,3,18,2,False
78,2020-03-19,9,2020,3,19,3,False
79,2020-03-20,27,2020,3,20,4,False
80,2020-03-21,19,2020,3,21,5,True
81,2020-03-22,7,2020,3,22,6,True
82,2020-03-23,14,2020,3,23,0,False
83,2020-03-24,8,2020,3,24,1,False
84,2020-03-25,13,2020,3,25,2,False
85,2020-03-26,10,2020,3,26,3,False
86,2020-03-27,14,2020,3,27,4,False
87,2020-03-28,7,2020,3,28,5,True
88,2020-03-29,13,2020,3,29,6,True
89,2020-03-30,5,2020,3,30,0,False
90,2020-03-31,6,2020,3,31,1,False
91,2020-04-01,10,2020,4,1,2,False
92,2020-04-02,16,2020,4,2,3,False
93,2020-04-03,13,2020,4,3,4,False
94,2020-04-04,9,2020,4,4,5,True
95,2020-04-05,16,2020,4,5,6,True
96,2020-04-06,3,2020,4,6,0,False
97,2020-04-07,6,2020,4,7,1,False
98,2020-04-08,9,2020,4,8,2,False
99,2020-04-09,0,2020,4,9,3,False
100,2020-04-10,10,2020,4,10,4,False
101,2020-04-11,14,2020,4,11,5,True
102,2020-04-12,5,2020,4,12,6,True
103,2020-04-13,6,2020,4,13,0,False
104,2020-04-14,6,2020,4,14,1,False
105,2020-04-15,10,2020,4,15,2,False
106,2020-04-16,2,2020,4,16,3,False
107,2020-04-17,12,2020,4,17,4,False
108,2020-04-18,3,2020,4,18,5,True
109,2020-04-19,6,2020,4,19,6,True
110,2020-04-20,16,2020,4,20,0,False
111,2020-04-21,10,2020,4,21,1,False
112,2020-04-22,12,2020,4,22,2,False
113,2020-04-23,2,2020,4,23,3,False
114,2020-04-24,11,2020,4,24,4,False
115,2020-04-25,2,2020,4,25,5,True
116,2020-04-26,2,2020,4,26,6,True
117,2020-04-27,12,2020,4,27,0,False
118,2020-04-28,8,2020,4,28,1,False
119,2020-04-29,23,2020,4,29,2,False
120,2020-04-30,6,2020,4,30,3,False
121,2020-05-01,9,2020,5,1,4,False
122,2020-05-02,8,2020,5,2,5,True
123,2020-05-03,11,2020,5,3,6,True
124,2020-05-04,19,2020,5,4,0,False
125,2020-05-05,4,2020,5,5,1,False
126,2020-05-06,13,2020,5,6,2,False
127,2020-05-07,26,2020,5,7,3,False
128,2020-05-08,17,2020,5,8,4,False
129,2020-05-09,11,2020,5,9,5,True
130,2020-05-10,10,2020,5,10,6,True
131,2020-05-11,18,2020,5,11,0,False
132,2020-05-12,9,2020,5,12,1,False
133,2020-05-13,12,2020,5,13,2,False
134,2020-05-14,10,2020,5,14,3,False
135,2020-05-15,10,2020,5,15,4,False
136,2020-05-16,22,2020,5,16,5,True
137,2020-05-17,9,2020,5,17,6,True
138,2020-05-18,13,2020,5,18,0,False
139,2020-05-19,10,2020,5,19,1,False
140,2020-05-20,21,2020,5,20,2,False
141,2020-05-21,12,2020,5,21,3,False
142,2020-05-22,2,2020,5,22,4,False
143,2020-05-23,13,2020,5,23,5,True
144,2020-05-24,11,2020,5,24,6,True
145,2020-05-25,16,2020,5,25,0,False
146,2020-05-26,9,2020,5,26,1,False
147,2020-05-27,8,2020,5,27,2,False
148,2020-05-28,20,2020,5,28,3,False
149,2020-05-29,22,2020,5,29,4,False
150,2020-05-30,6,2020,5,30,5,True
151,2020-05-31,21,2020,5,31,6,True
152,2020-06-01,28,2020,6,1,0,False
153,2020-06-02,14,2020,6,2,1,False
154,2020-06-03,8,2020,6,3,2,False
155,2020-06-04,4,2020,6,4,3,False
156,2020-06-05,20,2020,6,5,4,False
157,2020-06-06,7,2020,6,6,5,True
158,2020-06-07,20,2020,6,7,6,True
159,2020-06-08,12,2020,6,8,0,False
160,2020-06-09,6,2020,6,9,1,False
161,2020-06-10,12,2020,6,10,2,False
162,2020-06-11,13,2020,6,11,3,False
163,2020-06-12,11,2020,6,12,4,False
164,2020-06-13,15,2020,6,13,5,True
165,2020-06-14,15,2020,6,14,6,True
166,2020-06-15,8,2020,6,15,0,False
167,2020-06-16,32,2020,6,16,1,False
168,2020-06-17,25,2020,6,17,2,False
169,2020-06-18,53,2020,6,18,3,False
170,2020-06-19,18,2020,6,19,4,False
171,2020-06-20,20,2020,6,20,5,True
172,2020-06-21,18,2020,6,21,6,True
173,2020-06-22,34,2020,6,22,0,False
174,2020-06-23,43,2020,6,23,1,False
175,2020-06-24,45,2020,6,24,2,False
176,2020-06-25,18,2020,6,25,3,False
177,2020-06-26,62,2020,6,26,4,False
178,2020-06-27,31,2020,6,27,5,True
179,2020-06-28,32,2020,6,28,6,True
180,2020-06-29,47,2020,6,29,0,False
181,2020-06-30,54,2020,6,30,1,False
182,2020-07-01,45,2020,7,1,2,False
183,2020-07-02,36,2020,7,2,3,False
184,2020-07-03,38,2020,7,3,4,False
185,2020-07-04,24,2020,7,4,5,True
186,2020-07-05,36,2020,7,5,6,True
187,2020-07-06,36,2020,7,6,0,False
188,2020-07-07,45,2020,7,7,1,False
189,2020-07-08,92,2020,7,8,2,False
190,2020-07-09,34,2020,7,9,3,False
191,2020-07-10,66,2020,7,10,4,False
192,2020-07-11,76,2020,7,11,5,True
193,2020-07-12,60,2020,7,12,6,True
194,2020-07-13,131,2020,7,13,0,False
195,2020-07-14,47,2020,7,14,1,False
196,2020-07-15,53,2020,7,15,2,False
197,2020-07-16,42,2020,7,16,3,False
198,2020-07-17,43,2020,7,17,4,False
199,2020-07-18,45,2020,7,18,5,True
200,2020-07-19,22,2020,7,19,6,True
201,2020-07-20,46,2020,7,20,0,False
202,2020-07-21,101,2020,7,21,1,False
203,2020-07-22,70,2020,7,22,2,False
204,2020-07-23,60,2020,7,23,3,False
205,2020-07-24,45,2020,7,24,4,False
206,2020-07-25,28,2020,7,25,5,True
207,2020-07-26,61,2020,7,26,6,True
208,2020-07-27,82,2020,7,27,0,False
209,2020-07-28,77,2020,7,28,1,False
210,2020-07-29,73,2020,7,29,2,False
211,2020-07-30,47,2020,7,30,3,False
212,2020-07-31,57,2020,7,31,4,False
213,2020-08-01,38,2020,8,1,5,True
214,2020-08-02,44,2020,8,2,6,True
215,2020-08-03,88,2020,8,3,0,False
216,2020-08-04,24,2020,8,4,1,False
217,2020-08-05,30,2020,8,5,2,False
218,2020-08-06,60,2020,8,6,3,False
219,2020-08-07,42,2020,8,7,4,False
220,2020-08-08,61,2020,8,8,5,True
221,2020-08-09,40,2020,8,9,6,True
222,2020-08-10,53,2020,8,10,0,False
223,2020-08-11,50,2020,8,11,1,False
224,2020-08-12,41,2020,8,12,2,False
225,2020-08-13,68,2020,8,13,3,False
226,2020-08-14,43,2020,8,14,4,False
227,2020-08-15,24,2020,8,15,5,True
228,2020-08-16,31,2020,8,16,6,True
229,2020-08-17,42,2020,8,17,0,False
230,2020-08-18,36,2020,8,18,1,False
231,2020-08-19,36,2020,8,19,2,False
232,2020-08-20,46,2020,8,20,3,False
233,2020-08-21,40,2020,8,21,4,False
234,2020-08-22,33,2020,8,22,5,True
235,2020-08-23,28,2020,8,23,6,True
236,2020-08-24,35,2020,8,24,0,False
237,2020-08-25,48,2020,8,25,1,False
238,2020-08-26,57,2020,8,26,2,False
239,2020-08-27,69,2020,8,27,3,False
240,2020-08-28,54,2020,8,28,4,False
241,2020-08-29,43,2020,8,29,5,True
242,2020-08-30,40,2020,8,30,6,True
243,2020-08-31,66,2020,8,31,0,False
244,2020-09-01,58,2020,9,1,1,False
245,2020-09-02,48,2020,9,2,2,False
246,2020-09-03,52,2020,9,3,3,False
247,2020-09-04,26,2020,9,4,4,False
248,2020-09-05,39,2020,9,5,5,True
249,2020-09-06,45,2020,9,6,6,True
250,2020-09-07,100,2020,9,7,0,False
251,2020-09-08,89,2020,9,8,1,False
252,2020-09-09,95,2020,9,9,2,False
253,2020-09-10,87,2020,9,10,3,False
254,2020-09-11,55,2020,9,11,4,False
255,2020-09-12,32,2020,9,12,5,True
256,2020-09-13,87,2020,9,13,6,True
257,2020-09-14,86,2020,9,14,0,False
258,2020-09-15,112,2020,9,15,1,False
259,2020-09-16,174,2020,9,16,2,False
260,2020-09-17,43,2020,9,17,3,False
261,2020-09-18,60,2020,9,18,4,False
262,2020-09-19,32,2020,9,19,5,True
263,2020-09-20,13,2020,9,20,6,True
264,2020-09-21,45,2020,9,21,0,False
265,2020-09-22,28,2020,9,22,1,False
266,2020-09-23,39,2020,9,23,2,False
267,2020-09-24,54,2020,9,24,3,False
268,2020-09-25,38,2020,9,25,4,False
269,2020-09-26,20,2020,9,26,5,True
270,2020-09-27,6,2020,9,27,6,True
271,2020-09-28,48,2020,9,28,0,False
272,2020-09-29,58,2020,9,29,1,False
273,2020-09-30,62,2020,9,30,2,False
274,2020-10-01,32,2020,10,1,3,False
275,2020-10-02,15,2020,10,2,4,False
276,2020-10-03,10,2020,10,3,5,True
277,2020-10-04,33,2020,10,4,6,True
278,2020-10-05,21,2020,10,5,0,False
279,2020-10-06,48,2020,10,6,1,False
280,2020-10-07,43,2020,10,7,2,False
281,2020-10-08,16,2020,10,8,3,False
282,2020-10-09,30,2020,10,9,4,False
283,2020-10-10,22,2020,10,10,5,True
284,2020-10-11,14,2020,10,11,6,True
285,2020-10-12,16,2020,10,12,0,False
286,2020-10-13,39,2020,10,13,1,False
287,2020-10-14,27,2020,10,14,2,False
288,2020-10-15,12,2020,10,15,3,False
289,2020-10-16,16,2020,10,16,4,False
290,2020-10-17,7,2020,10,17,5,True
291,2020-10-18,10,2020,10,18,6,True
292,2020-10-19,47,2020,10,19,0,False
293,2020-10-20,31,2020,10,20,1,False
294,2020-10-21,62,2020,10,21,2,False
295,2020-10-22,72,2020,10,22,3,False
296,2020-10-23,62,2020,10,23,4,False
297,2020-10-24,36,2020,10,24,5,True
298,2020-10-25,44,2020,10,25,6,True
299,2020-10-26,58,2020,10,26,0,False
300,2020-10-27,50,2020,10,27,1,False
301,2020-10-28,64,2020,10,28,2,False
302,2020-10-29,50,2020,10,29,3,False
303,2020-10-30,30,2020,10,30,4,False
304,2020-10-31,18,2020,10,31,5,True
305,2020-11-01,41,2020,11,1,6,True
306,2020-11-02,55,2020,11,2,0,False
307,2020-11-03,55,2020,11,3,1,False
308,2020-11-04,39,2020,11,4,2,False
309,2020-11-05,38,2020,11,5,3,False
310,2020-11-06,32,2020,11,6,4,False
311,2020-11-07,37,2020,11,7,5,True
312,2020-11-08,30,2020,11,8,6,True
313,2020-11-09,55,2020,11,9,0,False
314,2020-11-10,42,2020,11,10,1,False
315,2020-11-11,52,2020,11,11,2,False
316,2020-11-12,61,2020,11,12,3,False
317,2020-11-13,35,2020,11,13,4,False
318,2020-11-14,42,2020,11,14,5,True
319,2020-11-15,35,2020,11,15,6,True
320,2020-11-16,51,2020,11,16,0,False
321,2020-11-17,2,2020,11,17,1,False
322,2020-11-18,3,2020,11,18,2,False
323,2020-11-19,3,2020,11,19,3,False
324,2020-11-20,0,2020,11,20,4,False
325,2020-11-21,0,2020,11,21,5,True
326,2020-11-22,0,2020,11,22,6,True
327,2020-11-23,2,2020,11,23,0,False
328,2020-11-24,35,2020,11,24,1,False
329,2020-11-25,38,2020,11,25,2,False
330,2020-11-26,34,2020,11,26,3,False
331,2020-11-27,23,2020,11,27,4,False
332,2020-11-28,39,2020,11,28,5,True
333,2020-11-29,47,2020,11,29,6,True
334,2020-11-30,37,2020,11,30,0,False
335,2020-12-01,27,2020,12,1,1,False
336,2020-12-02,38,2020,12,2,2,False
337,2020-12-03,43,2020,12,3,3,False
338,2020-12-04,29,2020,12,4,4,False
339,2020-12-05,47,2020,12,5,5,True
340,2020-12-06,50,2020,12,6,6,True
341,2020-12-07,37,2020,12,7,0,False
342,2020-12-08,40,2020,12,8,1,False
343,2020-12-09,30,2020,12,9,2,False
344,2020-12-10,41,2020,12,10,3,False
345,2020-12-11,51,2020,12,11,4,False
346,2020-12-12,29,2020,12,12,5,True
347,2020-12-13,46,2020,12,13,6,True
348,2020-12-14,50,2020,12,14,0,False
349,2020-12-15,40,2020,12,15,1,False
350,2020-12-16,45,2020,12,16,2,False
351,2020-12-17,44,2020,12,17,3,False
352,2020-12-18,56,2020,12,18,4,False
353,2020-12-19,31,2020,12,19,5,True
