,Date,Users,year,month,day,day of week,weekend,season
0,2020-01-01,13,2020,1,1,2,0,winter
1,2020-01-02,17,2020,1,2,3,0,winter
2,2020-01-03,13,2020,1,3,4,0,winter
3,2020-01-04,4,2020,1,4,5,1,winter
4,2020-01-05,10,2020,1,5,6,1,winter
5,2020-01-06,29,2020,1,6,0,0,winter
6,2020-01-07,43,2020,1,7,1,0,winter
7,2020-01-08,27,2020,1,8,2,0,winter
8,2020-01-09,26,2020,1,9,3,0,winter
9,2020-01-10,20,2020,1,10,4,0,winter
10,2020-01-11,7,2020,1,11,5,1,winter
11,2020-01-12,7,2020,1,12,6,1,winter
12,2020-01-13,27,2020,1,13,0,0,winter
13,2020-01-14,33,2020,1,14,1,0,winter
14,2020-01-15,16,2020,1,15,2,0,winter
15,2020-01-16,14,2020,1,16,3,0,winter
16,2020-01-17,14,2020,1,17,4,0,winter
17,2020-01-18,18,2020,1,18,5,1,winter
18,2020-01-19,25,2020,1,19,6,1,winter
19,2020-01-20,16,2020,1,20,0,0,winter
20,2020-01-21,24,2020,1,21,1,0,winter
21,2020-01-22,17,2020,1,22,2,0,winter
22,2020-01-23,39,2020,1,23,3,0,winter
23,2020-01-24,43,2020,1,24,4,0,winter
24,2020-01-25,35,2020,1,25,5,1,winter
25,2020-01-26,37,2020,1,26,6,1,winter
26,2020-01-27,189,2020,1,27,0,0,winter
27,2020-01-28,197,2020,1,28,1,0,winter
28,2020-01-29,142,2020,1,29,2,0,winter
29,2020-01-30,79,2020,1,30,3,0,winter
30,2020-01-31,60,2020,1,31,4,0,winter
31,2020-02-01,46,2020,2,1,5,1,winter
32,2020-02-02,47,2020,2,2,6,1,winter
33,2020-02-03,60,2020,2,3,0,0,winter
34,2020-02-04,52,2020,2,4,1,0,winter
35,2020-02-05,38,2020,2,5,2,0,winter
36,2020-02-06,32,2020,2,6,3,0,winter
37,2020-02-07,40,2020,2,7,4,0,winter
38,2020-02-08,21,2020,2,8,5,1,winter
39,2020-02-09,30,2020,2,9,6,1,winter
40,2020-02-10,33,2020,2,10,0,0,winter
41,2020-02-11,13,2020,2,11,1,0,winter
42,2020-02-12,71,2020,2,12,2,0,winter
43,2020-02-13,59,2020,2,13,3,0,winter
44,2020-02-14,38,2020,2,14,4,0,winter
45,2020-02-15,45,2020,2,15,5,1,winter
46,2020-02-16,59,2020,2,16,6,1,winter
47,2020-02-17,46,2020,2,17,0,0,winter
48,2020-02-18,60,2020,2,18,1,0,winter
49,2020-02-19,77,2020,2,19,2,0,winter
50,2020-02-20,59,2020,2,20,3,0,winter
51,2020-02-21,51,2020,2,21,4,0,winter
52,2020-02-22,45,2020,2,22,5,1,winter
53,2020-02-23,30,2020,2,23,6,1,winter
54,2020-02-24,28,2020,2,24,0,0,winter
55,2020-02-25,80,2020,2,25,1,0,winter
56,2020-02-26,50,2020,2,26,2,0,winter
57,2020-02-27,53,2020,2,27,3,0,winter
58,2020-02-28,74,2020,2,28,4,0,winter
59,2020-02-29,46,2020,2,29,5,1,winter
60,2020-03-01,27,2020,3,1,6,1,winter
61,2020-03-02,62,2020,3,2,0,0,winter
62,2020-03-03,65,2020,3,3,1,0,winter
63,2020-03-04,75,2020,3,4,2,0,winter
64,2020-03-05,56,2020,3,5,3,0,winter
65,2020-03-06,52,2020,3,6,4,0,winter
66,2020-03-07,58,2020,3,7,5,1,winter
67,2020-03-08,41,2020,3,8,6,1,winter
68,2020-03-09,119,2020,3,9,0,0,winter
69,2020-03-10,78,2020,3,10,1,0,winter
70,2020-03-11,99,2020,3,11,2,0,winter
71,2020-03-12,62,2020,3,12,3,0,winter
72,2020-03-13,28,2020,3,13,4,0,winter
73,2020-03-14,10,2020,3,14,5,1,winter
74,2020-03-15,10,2020,3,15,6,1,winter
75,2020-03-16,10,2020,3,16,0,0,winter
76,2020-03-17,14,2020,3,17,1,0,winter
77,2020-03-18,13,2020,3,18,2,0,winter
78,2020-03-19,9,2020,3,19,3,0,winter
79,2020-03-20,27,2020,3,20,4,0,winter
80,2020-03-21,19,2020,3,21,5,1,spring
81,2020-03-22,7,2020,3,22,6,1,spring
82,2020-03-23,14,2020,3,23,0,0,spring
83,2020-03-24,8,2020,3,24,1,0,spring
84,2020-03-25,13,2020,3,25,2,0,spring
85,2020-03-26,10,2020,3,26,3,0,spring
86,2020-03-27,14,2020,3,27,4,0,spring
87,2020-03-28,7,2020,3,28,5,1,spring
88,2020-03-29,13,2020,3,29,6,1,spring
89,2020-03-30,5,2020,3,30,0,0,spring
90,2020-03-31,6,2020,3,31,1,0,spring
91,2020-04-01,10,2020,4,1,2,0,spring
92,2020-04-02,16,2020,4,2,3,0,spring
93,2020-04-03,13,2020,4,3,4,0,spring
94,2020-04-04,9,2020,4,4,5,1,spring
95,2020-04-05,16,2020,4,5,6,1,spring
96,2020-04-06,3,2020,4,6,0,0,spring
97,2020-04-07,6,2020,4,7,1,0,spring
98,2020-04-08,9,2020,4,8,2,0,spring
99,2020-04-09,0,2020,4,9,3,0,spring
100,2020-04-10,10,2020,4,10,4,0,spring
101,2020-04-11,14,2020,4,11,5,1,spring
102,2020-04-12,5,2020,4,12,6,1,spring
103,2020-04-13,6,2020,4,13,0,0,spring
104,2020-04-14,6,2020,4,14,1,0,spring
105,2020-04-15,10,2020,4,15,2,0,spring
106,2020-04-16,2,2020,4,16,3,0,spring
107,2020-04-17,12,2020,4,17,4,0,spring
108,2020-04-18,3,2020,4,18,5,1,spring
109,2020-04-19,6,2020,4,19,6,1,spring
110,2020-04-20,16,2020,4,20,0,0,spring
111,2020-04-21,10,2020,4,21,1,0,spring
112,2020-04-22,12,2020,4,22,2,0,spring
113,2020-04-23,2,2020,4,23,3,0,spring
114,2020-04-24,11,2020,4,24,4,0,spring
115,2020-04-25,2,2020,4,25,5,1,spring
116,2020-04-26,2,2020,4,26,6,1,spring
117,2020-04-27,12,2020,4,27,0,0,spring
118,2020-04-28,8,2020,4,28,1,0,spring
119,2020-04-29,23,2020,4,29,2,0,spring
120,2020-04-30,6,2020,4,30,3,0,spring
121,2020-05-01,9,2020,5,1,4,0,spring
122,2020-05-02,8,2020,5,2,5,1,spring
123,2020-05-03,11,2020,5,3,6,1,spring
124,2020-05-04,19,2020,5,4,0,0,spring
125,2020-05-05,4,2020,5,5,1,0,spring
126,2020-05-06,13,2020,5,6,2,0,spring
127,2020-05-07,26,2020,5,7,3,0,spring
128,2020-05-08,17,2020,5,8,4,0,spring
129,2020-05-09,11,2020,5,9,5,1,spring
130,2020-05-10,10,2020,5,10,6,1,spring
131,2020-05-11,18,2020,5,11,0,0,spring
132,2020-05-12,9,2020,5,12,1,0,spring
133,2020-05-13,12,2020,5,13,2,0,spring
134,2020-05-14,10,2020,5,14,3,0,spring
135,2020-05-15,10,2020,5,15,4,0,spring
136,2020-05-16,22,2020,5,16,5,1,spring
137,2020-05-17,9,2020,5,17,6,1,spring
138,2020-05-18,13,2020,5,18,0,0,spring
139,2020-05-19,10,2020,5,19,1,0,spring
140,2020-05-20,21,2020,5,20,2,0,spring
141,2020-05-21,12,2020,5,21,3,0,spring
142,2020-05-22,2,2020,5,22,4,0,spring
143,2020-05-23,13,2020,5,23,5,1,spring
144,2020-05-24,11,2020,5,24,6,1,spring
145,2020-05-25,16,2020,5,25,0,0,spring
146,2020-05-26,9,2020,5,26,1,0,spring
147,2020-05-27,8,2020,5,27,2,0,spring
148,2020-05-28,20,2020,5,28,3,0,spring
149,2020-05-29,22,2020,5,29,4,0,spring
150,2020-05-30,6,2020,5,30,5,1,spring
151,2020-05-31,21,2020,5,31,6,1,spring
152,2020-06-01,28,2020,6,1,0,0,spring
153,2020-06-02,14,2020,6,2,1,0,spring
154,2020-06-03,8,2020,6,3,2,0,spring
155,2020-06-04,4,2020,6,4,3,0,spring
156,2020-06-05,20,2020,6,5,4,0,spring
157,2020-06-06,7,2020,6,6,5,1,spring
158,2020-06-07,20,2020,6,7,6,1,spring
159,2020-06-08,12,2020,6,8,0,0,spring
160,2020-06-09,6,2020,6,9,1,0,spring
161,2020-06-10,12,2020,6,10,2,0,spring
