Users,year,month,day,day of week,weekend,season,festivo
13,2020,1,1,2,0,3,1
17,2020,1,2,3,0,3,0
13,2020,1,3,4,0,3,0
4,2020,1,4,5,1,3,0
10,2020,1,5,6,1,3,0
29,2020,1,6,0,0,3,1
43,2020,1,7,1,0,3,0
27,2020,1,8,2,0,3,0
26,2020,1,9,3,0,3,0
20,2020,1,10,4,0,3,0
7,2020,1,11,5,1,3,0
7,2020,1,12,6,1,3,0
27,2020,1,13,0,0,3,0
33,2020,1,14,1,0,3,0
16,2020,1,15,2,0,3,0
14,2020,1,16,3,0,3,0
14,2020,1,17,4,0,3,0
18,2020,1,18,5,1,3,0
25,2020,1,19,6,1,3,0
16,2020,1,20,0,0,3,0
24,2020,1,21,1,0,3,0
17,2020,1,22,2,0,3,0
39,2020,1,23,3,0,3,0
43,2020,1,24,4,0,3,0
35,2020,1,25,5,1,3,0
37,2020,1,26,6,1,3,0
79,2020,1,30,3,0,3,0
60,2020,1,31,4,0,3,0
46,2020,2,1,5,1,3,0
47,2020,2,2,6,1,3,0
60,2020,2,3,0,0,3,0
52,2020,2,4,1,0,3,0
38,2020,2,5,2,0,3,0
32,2020,2,6,3,0,3,0
40,2020,2,7,4,0,3,0
21,2020,2,8,5,1,3,0
30,2020,2,9,6,1,3,0
33,2020,2,10,0,0,3,0
13,2020,2,11,1,0,3,0
71,2020,2,12,2,0,3,0
59,2020,2,13,3,0,3,0
38,2020,2,14,4,0,3,0
45,2020,2,15,5,1,3,0
59,2020,2,16,6,1,3,0
46,2020,2,17,0,0,3,0
60,2020,2,18,1,0,3,0
77,2020,2,19,2,0,3,0
59,2020,2,20,3,0,3,0
51,2020,2,21,4,0,3,0
45,2020,2,22,5,1,3,0
30,2020,2,23,6,1,3,0
28,2020,2,24,0,0,3,0
80,2020,2,25,1,0,3,0
50,2020,2,26,2,0,3,0
53,2020,2,27,3,0,3,0
74,2020,2,28,4,0,3,0
46,2020,2,29,5,1,3,0
27,2020,3,1,6,1,3,0
62,2020,3,2,0,0,3,0
65,2020,3,3,1,0,3,0
75,2020,3,4,2,0,3,0
56,2020,3,5,3,0,3,0
52,2020,3,6,4,0,3,0
58,2020,3,7,5,1,3,0
41,2020,3,8,6,1,3,0
78,2020,3,10,1,0,3,0
99,2020,3,11,2,0,3,0
62,2020,3,12,3,0,3,0
28,2020,3,13,4,0,3,0
10,2020,3,14,5,1,3,0
10,2020,3,15,6,1,3,0
10,2020,3,16,0,0,3,0
14,2020,3,17,1,0,3,0
13,2020,3,18,2,0,3,0
9,2020,3,19,3,0,3,0
27,2020,3,20,4,0,3,0
19,2020,3,21,5,1,1,0
7,2020,3,22,6,1,1,0
14,2020,3,23,0,0,1,0
8,2020,3,24,1,0,1,0
13,2020,3,25,2,0,1,0
10,2020,3,26,3,0,1,0
14,2020,3,27,4,0,1,0
7,2020,3,28,5,1,1,0
13,2020,3,29,6,1,1,0
5,2020,3,30,0,0,1,0
6,2020,3,31,1,0,1,0
10,2020,4,1,2,0,1,0
16,2020,4,2,3,0,1,0
13,2020,4,3,4,0,1,0
9,2020,4,4,5,1,1,0
16,2020,4,5,6,1,1,0
3,2020,4,6,0,0,1,0
6,2020,4,7,1,0,1,0
9,2020,4,8,2,0,1,0
0,2020,4,9,3,0,1,0
10,2020,4,10,4,0,1,1
14,2020,4,11,5,1,1,0
5,2020,4,12,6,1,1,0
6,2020,4,13,0,0,1,0
6,2020,4,14,1,0,1,0
10,2020,4,15,2,0,1,0
2,2020,4,16,3,0,1,0
12,2020,4,17,4,0,1,0
3,2020,4,18,5,1,1,0
6,2020,4,19,6,1,1,0
16,2020,4,20,0,0,1,0
10,2020,4,21,1,0,1,0
12,2020,4,22,2,0,1,0
2,2020,4,23,3,0,1,0
11,2020,4,24,4,0,1,0
2,2020,4,25,5,1,1,0
2,2020,4,26,6,1,1,0
12,2020,4,27,0,0,1,0
8,2020,4,28,1,0,1,0
23,2020,4,29,2,0,1,0
6,2020,4,30,3,0,1,0
9,2020,5,1,4,0,1,1
8,2020,5,2,5,1,1,0
11,2020,5,3,6,1,1,0
19,2020,5,4,0,0,1,0
4,2020,5,5,1,0,1,0
13,2020,5,6,2,0,1,0
26,2020,5,7,3,0,1,0
17,2020,5,8,4,0,1,0
11,2020,5,9,5,1,1,0
10,2020,5,10,6,1,1,0
18,2020,5,11,0,0,1,0
9,2020,5,12,1,0,1,0
12,2020,5,13,2,0,1,0
10,2020,5,14,3,0,1,0
10,2020,5,15,4,0,1,0
22,2020,5,16,5,1,1,0
9,2020,5,17,6,1,1,0
13,2020,5,18,0,0,1,0
10,2020,5,19,1,0,1,0
21,2020,5,20,2,0,1,0
12,2020,5,21,3,0,1,0
2,2020,5,22,4,0,1,0
13,2020,5,23,5,1,1,0
11,2020,5,24,6,1,1,0
16,2020,5,25,0,0,1,0
9,2020,5,26,1,0,1,0
8,2020,5,27,2,0,1,0
20,2020,5,28,3,0,1,0
22,2020,5,29,4,0,1,0
6,2020,5,30,5,1,1,0
21,2020,5,31,6,1,1,0
28,2020,6,1,0,0,1,0
14,2020,6,2,1,0,1,0
8,2020,6,3,2,0,1,0
4,2020,6,4,3,0,1,0
20,2020,6,5,4,0,1,0
7,2020,6,6,5,1,1,0
20,2020,6,7,6,1,1,0
12,2020,6,8,0,0,1,0
6,2020,6,9,1,0,1,0
12,2020,6,10,2,0,1,0
13,2020,6,11,3,0,1,0
11,2020,6,12,4,0,1,0
15,2020,6,13,5,1,1,0
15,2020,6,14,6,1,1,0
8,2020,6,15,0,0,1,0
32,2020,6,16,1,0,1,0
25,2020,6,17,2,0,1,0
53,2020,6,18,3,0,1,0
18,2020,6,19,4,0,1,0
20,2020,6,20,5,1,1,0
18,2020,6,21,6,1,4,0
34,2020,6,22,0,0,4,0
43,2020,6,23,1,0,4,0
45,2020,6,24,2,0,4,0
18,2020,6,25,3,0,4,0
62,2020,6,26,4,0,4,0
31,2020,6,27,5,1,4,0
32,2020,6,28,6,1,4,0
47,2020,6,29,0,0,4,0
54,2020,6,30,1,0,4,0
45,2020,7,1,2,0,4,0
36,2020,7,2,3,0,4,0
38,2020,7,3,4,0,4,0
24,2020,7,4,5,1,4,0
36,2020,7,5,6,1,4,0
36,2020,7,6,0,0,4,0
45,2020,7,7,1,0,4,0
92,2020,7,8,2,0,4,0
34,2020,7,9,3,0,4,0
66,2020,7,10,4,0,4,0
76,2020,7,11,5,1,4,0
60,2020,7,12,6,1,4,0
47,2020,7,14,1,0,4,0
53,2020,7,15,2,0,4,0
42,2020,7,16,3,0,4,0
43,2020,7,17,4,0,4,0
45,2020,7,18,5,1,4,0
22,2020,7,19,6,1,4,0
46,2020,7,20,0,0,4,0
70,2020,7,22,2,0,4,0
60,2020,7,23,3,0,4,0
45,2020,7,24,4,0,4,0
28,2020,7,25,5,1,4,0
61,2020,7,26,6,1,4,0
82,2020,7,27,0,0,4,0
77,2020,7,28,1,0,4,0
73,2020,7,29,2,0,4,0
47,2020,7,30,3,0,4,0
57,2020,7,31,4,0,4,0
38,2020,8,1,5,1,4,0
44,2020,8,2,6,1,4,0
88,2020,8,3,0,0,4,0
24,2020,8,4,1,0,4,0
30,2020,8,5,2,0,4,0
60,2020,8,6,3,0,4,0
42,2020,8,7,4,0,4,0
61,2020,8,8,5,1,4,0
40,2020,8,9,6,1,4,0
53,2020,8,10,0,0,4,0
50,2020,8,11,1,0,4,0
41,2020,8,12,2,0,4,0
68,2020,8,13,3,0,4,0
43,2020,8,14,4,0,4,0
24,2020,8,15,5,1,4,1
31,2020,8,16,6,1,4,0
42,2020,8,17,0,0,4,0
36,2020,8,18,1,0,4,0
36,2020,8,19,2,0,4,0
46,2020,8,20,3,0,4,0
40,2020,8,21,4,0,4,0
33,2020,8,22,5,1,4,0
28,2020,8,23,6,1,4,0
35,2020,8,24,0,0,4,0
48,2020,8,25,1,0,4,0
57,2020,8,26,2,0,4,0
69,2020,8,27,3,0,4,0
54,2020,8,28,4,0,4,0
43,2020,8,29,5,1,4,0
40,2020,8,30,6,1,4,0
66,2020,8,31,0,0,4,0
58,2020,9,1,1,0,4,0
48,2020,9,2,2,0,4,0
52,2020,9,3,3,0,4,0
26,2020,9,4,4,0,4,0
39,2020,9,5,5,1,4,0
45,2020,9,6,6,1,4,0
100,2020,9,7,0,0,4,0
89,2020,9,8,1,0,4,0
95,2020,9,9,2,0,4,0
87,2020,9,10,3,0,4,0
55,2020,9,11,4,0,4,0
32,2020,9,12,5,1,4,0
87,2020,9,13,6,1,4,0
86,2020,9,14,0,0,4,0
43,2020,9,17,3,0,4,0
60,2020,9,18,4,0,4,0
32,2020,9,19,5,1,4,0
13,2020,9,20,6,1,4,0
45,2020,9,21,0,0,4,0
28,2020,9,22,1,0,4,0
39,2020,9,23,2,0,2,0
54,2020,9,24,3,0,2,0
38,2020,9,25,4,0,2,0
20,2020,9,26,5,1,2,0
6,2020,9,27,6,1,2,0
48,2020,9,28,0,0,2,0
58,2020,9,29,1,0,2,0
62,2020,9,30,2,0,2,0
32,2020,10,1,3,0,2,0
15,2020,10,2,4,0,2,0
